id,customer_tweet_id,customer_text,agent_tweet_id,historical_agent_reply,true_intent,true_should_escalate,true_escalation_reason,reason_code,key_resolution_points,human_quality_score
golden_001,2455297,WHY THE HELL IS MY LAPTOP TRIPPEN NOW AFTER I DID THE HIGH SIERRA UPDATE?!?!,2455296,We're happy to offer our assistance! Send us a DM with details about what you're experiencing and we'll take it from there. https://t.co/GDrqU22YpT,software_update_os,False,Auto-Handled: Resolvable via verified knowledge base troubleshooting steps without human intervention.,AUTO_HANDLE,"Identify device model & iOS build; suggest force restart, Settings reset, or official patch.",4
golden_002,321784,"Hey iOS11.0.2 is awful, full of bugs — friends do yourself a solid and DO NOT update your phone until #Apple fixes",321782,We're here to help. DM us more details about the issue and we'll do our best to provide assistance. https://t.co/GDrqU22YpT,software_update_os,False,Auto-Handled: Resolvable via verified knowledge base troubleshooting steps without human intervention.,AUTO_HANDLE,"Identify device model & iOS build; suggest force restart, Settings reset, or official patch.",4
golden_003,5845,Updated iPad Pro to 11.1. Worked on draft email. None of changes saved. Started new email. Saved but disappeared. Help please,5843,We'll help in any way we can. Was this on an https://t.co/coj9FJKJWV email account?,software_update_os,False,Auto-Handled: Resolvable via verified knowledge base troubleshooting steps without human intervention.,AUTO_HANDLE,"Identify device model & iOS build; suggest force restart, Settings reset, or official patch.",4
golden_004,1350630,😠😠😠. This new “update” makes my phone like 40 times a day.... I do not like this.,1350628,We'd be happy to see how we can help. What's going on with your iPhone? Which iPhone and iOS version are you using?,software_update_os,False,Auto-Handled: Resolvable via verified knowledge base troubleshooting steps without human intervention.,AUTO_HANDLE,"Identify device model & iOS build; suggest force restart, Settings reset, or official patch.",4
golden_005,2439712,Hey - when is the keyboard glitch in my iOS going to be fixed. #lame https://t.co/49bLGbQJsR,2439711,We want to help. You may need to backup and update to iOS 11.1.1 on your device. Take a look at this article for help with these steps: https://t.co/ahjigcvFRG,software_update_os,False,Auto-Handled: Resolvable via verified knowledge base troubleshooting steps without human intervention.,AUTO_HANDLE,"Identify device model & iOS build; suggest force restart, Settings reset, or official patch.",4
golden_006,2438499,Need to have an update 🙂💔 https://t.co/wv67VGojOS,2438498,We would be happy to help. What's happening with your iPhone here?,software_update_os,False,Auto-Handled: Resolvable via verified knowledge base troubleshooting steps without human intervention.,AUTO_HANDLE,"Identify device model & iOS build; suggest force restart, Settings reset, or official patch.",4
golden_007,937508,Since I’ve updated my iPhone it’s fucked cheers,937506,We'd like to look into this with you. What's going on?,software_update_os,False,Auto-Handled: Resolvable via verified knowledge base troubleshooting steps without human intervention.,AUTO_HANDLE,"Identify device model & iOS build; suggest force restart, Settings reset, or official patch.",4
golden_008,1970961,"After iOS 11, autocorrect has gone crazy w/ misplaced initial caps - often in middle of setences. Can you dial back?",1970960,Let's work on this together. Which version of iOS 11 do you have installed?,software_update_os,False,Auto-Handled: Resolvable via verified knowledge base troubleshooting steps without human intervention.,AUTO_HANDLE,"Identify device model & iOS build; suggest force restart, Settings reset, or official patch.",4
golden_009,1120616,This ios 11 is messing up my phone😤,1120615,"We're happy to help. To get started, let us know what issue you're experiencing.",software_update_os,False,Auto-Handled: Resolvable via verified knowledge base troubleshooting steps without human intervention.,AUTO_HANDLE,"Identify device model & iOS build; suggest force restart, Settings reset, or official patch.",4
golden_010,33353,#iOS11.1 is taking iPhones into consistent boot loops !! It remains for a couple of hours boot looping over and over then it gets back on again. This happened since the betas. I thought it's a bug but even now with the official 11.1 it happened. https://t.co/Q5vk9E0I0W,33352,Let's get this resolved. Are you still experiencing this issue? Reply in DM to get started. https://t.co/GDrqU22YpT,software_update_os,False,Auto-Handled: Resolvable via verified knowledge base troubleshooting steps without human intervention.,AUTO_HANDLE,"Identify device model & iOS build; suggest force restart, Settings reset, or official patch.",4
