customer_tweet_id,customer_text,customer_raw_text,customer_created_at,agent_tweet_id,agent_text,agent_raw_text,agent_created_at
2578607,I accidentally deleted a song from my library! 😩 Please can I get it back without having to purchase it again?,@AppleSupport I accidentally deleted a song from my library! 😩 Please can I get it back without having to purchase it again?,Thu Nov 16 20:55:36 +0000 2017,2578606,Don't worry at all! You can redownload your past music purchases. Check out how in this article: https://t.co/I39AyN1o7J,@731051 Don't worry at all! You can redownload your past music purchases. Check out how in this article: https://t.co/I39AyN1o7J,Thu Nov 16 22:09:26 +0000 2017
1394524,Hi is there anyway I can get my phones shipped to our closest Apple store to pick up instead of my apartment?,Hi @AppleSupport is there anyway I can get my phones shipped to our closest Apple store to pick up instead of my apartment?,Sat Oct 28 10:05:00 +0000 2017,1394522,"Hi. To check a few options, may we have your country? Meet us in DM with your response. https://t.co/GDrqU22YpT","@444306 Hi. To check a few options, may we have your country? Meet us in DM with your response. https://t.co/GDrqU22YpT",Sat Oct 28 14:05:26 +0000 2017
2855311,. hola. si compro un iPhone X Verizon pago completo lo puedo usar en España? Alguien me puede responder?,.@AppleSupport hola. si compro un iPhone X Verizon pago completo lo puedo usar en España? Alguien me puede responder?,Mon Nov 27 20:50:57 +0000 2017,2855309,We offer support via Twitter in English. Get help in Spanish here: https://t.co/IBIY3vMgPj or join https://t.co/OczyRx7IOs,@793675 We offer support via Twitter in English. Get help in Spanish here: https://t.co/IBIY3vMgPj or join https://t.co/OczyRx7IOs,Mon Nov 27 20:55:32 +0000 2017
2888441,my phone is so glitchy please fix it.,@AppleSupport my phone is so glitchy please fix it.,Tue Nov 28 04:48:35 +0000 2017,2888440,Thanks for bringing this to our attention. We'd love to look into this with you. Tell us which iPhone and software version yo're using in DM. Click here:,@404788 Thanks for bringing this to our attention. We'd love to look into this with you. Tell us which iPhone and software version yo're using in DM. Click here:,Tue Nov 28 13:28:00 +0000 2017
1835700,help my apps wont download n i’ve tried everything,@AppleSupport help my apps wont download n i’ve tried everything,Wed Oct 18 14:28:26 +0000 2017,1835699,We're here to help. Are you receiving any error messages when attempting to download apps? Which device are you currently using?,@550495 We're here to help. Are you receiving any error messages when attempting to download apps? Which device are you currently using?,Wed Oct 18 15:24:34 +0000 2017
2113868,is VPP store down? Can't search for any apps.,@AppleSupport is VPP store down? Can't search for any apps.,Wed Nov 08 14:28:36 +0000 2017,2113867,We're here to help! Tell us a little more about what is going on in a DM and we'll continue there. https://t.co/GDrqU22YpT,@427257 We're here to help! Tell us a little more about what is going on in a DM and we'll continue there. https://t.co/GDrqU22YpT,Wed Nov 08 16:55:00 +0000 2017
1581434,Not sure my MacBook should be expanding like this... any advice ? https://t.co/wPIy6SSJIj,Not sure my MacBook should be expanding like this... any advice @AppleSupport? https://t.co/wPIy6SSJIj,Sat Nov 04 15:51:42 +0000 2017,1581433,Let's check into this together. Could you join us in DM and we'll get started? https://t.co/GDrqU22YpT,@486838 Let's check into this together. Could you join us in DM and we'll get started? https://t.co/GDrqU22YpT,Sat Nov 04 19:53:00 +0000 2017
1011519,iphone 6s too full !! the apple stays on for only 5 sec trying to empty it but I switched it off and then no way to on,"@AppleSupport 
iphone 6s too full !!
the apple stays on for only 5 sec 
trying to empty it  but I switched it off and then no way to on",Sun Oct 22 20:30:33 +0000 2017,1011518,We'd love to help and recommend all of these steps first: https://t.co/8MvHMFZ83h Let us know how it goes.,@359328 We'd love to help and recommend all of these steps first: https://t.co/8MvHMFZ83h Let us know how it goes.,Sun Oct 22 21:21:00 +0000 2017
1538887,What is with the predictive text issue and the letter “I”???,@115858 @AppleSupport What is with the predictive text issue and the letter “I”???,Fri Nov 03 21:11:21 +0000 2017,1538886,We'd like to look into this with you. DM us and we'll get started. https://t.co/GDrqU22YpT,@477028 We'd like to look into this with you. DM us and we'll get started. https://t.co/GDrqU22YpT,Sat Nov 04 01:30:00 +0000 2017
243291,"is the App Store down? I can’t download or update any apps, the circle keeps spinning and I’ve been trying for over 12 hours","@AppleSupport is the App Store down? I can’t download or update any apps, the circle keeps spinning and I’ve been trying for over 12 hours",Thu Oct 05 11:02:43 +0000 2017,243287,Thanks for reaching out. Let's take a closer look together. Does this happen over both Wi-Fi and cellular data?,@173771 Thanks for reaching out. Let's take a closer look together. Does this happen over both Wi-Fi and cellular data?,Thu Oct 05 14:37:01 +0000 2017
